brand,model,model_year,milage,fuel_type,ext_col,int_col,price
Jeep,Wrangler Sport,2014,"71,000 mi.",Gasoline,Gray,Black,22000
Toyota,Highlander XLE,2015,"68,575 mi.",Gasoline,Silver,Gray,26000
Toyota,Camry Hybrid XLE,2018,"69,641 mi.",Hybrid,White,Black,23995
Subaru,Outback Touring XT,2021,"33,500 mi.",Gasoline,Blue,Brown,34000
Lexus,GX 460 Base,2018,"75,000 mi.",Gasoline,White,Beige,38095
Ford,Escape XLT,2007,"133,300 mi.",Gasoline,Silver,Silver,3000
Nissan,Murano SL,2007,"120,000 mi.",Gasoline,Silver,Black,6750
Lexus,LC 500 Base,2022,"2,071 mi.",Gasoline,Nightfall Mica,Caramel,99950
MINI,Cooper Base,2003,"103,726 mi.",Gasoline,Red,Gray,5995
Ford,E350 Super Duty Base,2006,"158,000 mi.",Gasoline,White,Gray,8500
Mazda,Mazda6 i Touring,2016,"119,500 mi.",Gasoline,Silver,Black,15000
Mercedes-Benz,E-Class AMG E 53,2020,"23,044 mi.",Hybrid,Emerald Green Metallic,Black/Saddle Brown,72598
Toyota,Camry Hybrid Base,2007,"53,249 mi.",Hybrid,Silver,Gray,9250
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,"67,289 mi.",Gasoline,White,Gray,20490
Dodge,Charger SE,2017,"63,250 mi.",Gasoline,Red,Black,18650
Tesla,Model S 75D,2016,"102,260 mi.",,White,Black,31300
Lexus,GX 460 Premium,2023,"2,533 mi.",Gasoline,Black,Black,64900
Audi,RS 7 4.0T quattro,2023,"3,158 mi.",Gasoline,Daytona Gray Pearl Effect,Black / Express Red,128900
Ford,Mustang Shelby GT500,2007,"7,346 mi.",Gasoline,Red,Black,40999
Acura,MDX Technology,2022,"15,895 mi.",Gasoline,Majestic Black Pearl,Parchment,47950
Lincoln,MKT Base,2016,"140,200 mi.",Gasoline,Black,Black,10500
Volkswagen,Passat 2.0T SE,2020,"49,400 mi.",Gasoline,Black,Brown,20900
INFINITI,QX60 Base,2014,"154,247 mi.",Gasoline,Black,Black,12500
RAM,1500 Big Horn,2021,"41,800 mi.",Diesel,White,Black,44900
Hyundai,Santa Fe SE,2007,"145,000 mi.",Gasoline,Blue,Gray,4200
Acura,ILX Technology Plus Package,2016,"61,000 mi.",Gasoline,Black,Black,21000
Rolls-Royce,Phantom,2018,"7,585 mi.",Gasoline,–,–,599000
Mercedes-Benz,E-Class E 350,2014,"35,000 mi.",Gasoline,Red,Beige,29998
RAM,1500 Limited,2021,"22,000 mi.",Gasoline,Black,Black,54800
Jaguar,F-TYPE S British Design Edition,2017,"34,150 mi.",Gasoline,Black,Black,45999
Toyota,Highlander XLE,2018,"74,000 mi.",Gasoline,White,Black,27950
Porsche,911 Turbo Cabriolet,2008,"51,000 mi.",Gasoline,Silver,Black,69500
Aston,Martin DBS Superleggera,2019,"22,770 mi.",Gasoline,Silver,Black,184606
Ford,Transit Connect XLT,2016,"111,700 mi.",E85 Flex Fuel,White,Beige,15500
Maserati,Quattroporte S,2019,"23,230 mi.",Gasoline,Black,Black,44999
Land,Rover Defender S,2023,"15,200 mi.",Gasoline,White,Black,62999
Toyota,Tundra SR5,2020,"26,300 mi.",Gasoline,Gray,Gray,46199
Mazda,Mazda6 Touring,2021,"52,253 mi.",Gasoline,Snowflake White Pearl,Black,25215
BMW,i3 Base,2015,"26,000 mi.",,White,Beige,14999
Jeep,Grand Cherokee Limited,2020,"47,500 mi.",Gasoline,Purple,Black,31000
BMW,640 Gran Coupe i xDrive,2015,"98,000 mi.",Gasoline,Black,Beige,22500
Honda,Accord EX-L 2.0T,2019,"40,069 mi.",Gasoline,White,Black,27500
Kia,Rio S,2021,"67,686 mi.",Gasoline,Silver,Black,15700
Ford,F-250 King Ranch,2015,"97,700 mi.",Diesel,Black,–,39950
Porsche,911 Turbo S,2019,"22,000 mi.",Gasoline,White,Beige,174900
BMW,M2 Competition,2020,"25,013 mi.",Gasoline,Black,Black,55000
BMW,328 i xDrive,2016,"65,000 mi.",Gasoline,Silver,Black,19500
Ford,Expedition Limited,2018,"98,995 mi.",Gasoline,Ingot Silver Metallic,Ebony,34998
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,"98,000 mi.",Gasoline,White,Beige,15500
GMC,Yukon SLT,2018,"85,500 mi.",Gasoline,Black,Black,35899
BMW,330e iPerformance,2018,"45,253 mi.",Plug-In Hybrid,Black,Black,24995
Ford,Explorer Limited,2022,"17,500 mi.",Hybrid,White,Black,46000
Chrysler,Pacifica Launch Edition,2020,"22,200 mi.",Gasoline,Black,Black,36800
Tesla,Model 3 Long Range,2019,"27,123 mi.",,Red,Black,38200
Buick,Enclave Leather,2015,"68,653 mi.",Gasoline,Blue,Black,18950
Jeep,Wrangler Sport,2012,"57,237 mi.",Gasoline,Black,Black,22500
Audi,A4 2.0T Premium Plus,2015,"73,000 mi.",E85 Flex Fuel,Black,Black,17200
Kia,Optima EX,2019,"68,166 mi.",Gasoline,Ebony Black,Black,20818
Subaru,Impreza WRX Base,2013,"113,000 mi.",Gasoline,Blue,Black,16000
Volkswagen,Touareg TDI Lux,2015,"15,167 mi.",Diesel,Gold,Black,35000
Cadillac,Escalade Platinum,2020,"48,613 mi.",Gasoline,Black,Black,61500
Land,Rover Range Rover Sport HSE,2007,"220,000 mi.",Gasoline,White,Beige,5750
INFINITI,QX80 SENSORY,2022,"26,520 mi.",Gasoline,Blue,Brown,64000
BMW,Z4 3.0si,2008,"59,257 mi.",Gasoline,Gray,Black,18200
Ford,F-250 XLT Super Duty,2001,"64,309 mi.",Gasoline,White,Gray,7500
BMW,X5 xDrive35i,2017,"105,100 mi.",Gasoline,Gray,Black,23300
Nissan,Xterra S,2012,"80,000 mi.",Gasoline,Black,Gray,14800
Chevrolet,Silverado 2500 LT,2016,"84,421 mi.",E85 Flex Fuel,White,Black,36800
Mercedes-Benz,GL-Class GL 450,2011,"93,000 mi.",Gasoline,Gray,Beige,11900
Chevrolet,Trailblazer LT,2021,"50,648 mi.",Gasoline,Pacific Blue Metallic,Jet Black,23995
Mercedes-Benz,AMG GLS 63 4MATIC,2023,"2,000 mi.",Hybrid,Gray,Beige,175000
MINI,Convertible John Cooper Works,2017,"24,280 mi.",Gasoline,Black,Black,29000
Jeep,Compass Sport,2010,"179,700 mi.",Gasoline,Black,Gray,4500
Toyota,86 860 Special Edition,2017,"87,500 mi.",Gasoline,Silver,Black,20000
Dodge,Charger SRT Hellcat Widebody,2023,"5,000 mi.",Gasoline,Gray,Black,110000
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022,"14,000 mi.",Gasoline,Gray,Black,46900
Audi,S4 3.0 Prestige,2012,"38,718 mi.",Gasoline,Black,Black,31000
Jeep,Grand Cherokee Laredo,2012,"166,000 mi.",E85 Flex Fuel,White,Gray,13000
Honda,Civic Sport,2020,"23,131 mi.",Gasoline,Crystal Black Pearl,Black,23739
Lincoln,Aviator Reserve AWD,2022,"18,196 mi.",Gasoline,Black,Brown,62000
Toyota,4Runner Sport,2004,"220,450 mi.",Gasoline,Gray,Gray,8550
Rivian,R1S Launch Edition,2023,299 mi.,,Blue,Gray,92500
Mercedes-Benz,E-Class E 350 4MATIC,2014,"89,563 mi.",Gasoline,Blue,Black,18995
INFINITI,Q60 3.0T Premium,2017,"107,380 mi.",Gasoline,Black,Gray,17500
Pontiac,Solstice Base,2007,"62,310 mi.",Gasoline,Gray,Black,12900
Land,Rover Range Rover Sport First Edition,2023,"3,534 mi.",Hybrid,Red,Black,143998
Porsche,Macan S,2022,"20,250 mi.",Gasoline,White,Beige,68500
Audi,Q5 Premium,2023,"2,425 mi.",Hybrid,Mythos Black,–,42998
Hyundai,Tucson Limited,2008,"149,000 mi.",Gasoline,Black,Gray,3850
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,"32,500 mi.",Gasoline,Black,Black,43500
GMC,Sierra 1500 Limited Elevation,2022,"24,900 mi.",Gasoline,Black,Black,49900
Ford,Bronco,2021,"3,596 mi.",Gasoline,Blue,Black Onyx,56900
Ford,Expedition Max Limited,2022,"26,500 mi.",Gasoline,White,Beige,65900
Cadillac,CTS-V Base,2006,"123,000 mi.",Gasoline,Black,Black,15000
Jeep,Liberty Limited,2010,"107,000 mi.",Gasoline,Gray,Gray,5900
Mercedes-Benz,S-Class S 550,2016,"78,101 mi.",Gasoline,Black,Black,34500
