brand,model,model_year,engine,transmission,int_col,accident,price
Jeep,Wrangler Sport,2014,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,22000
Toyota,Highlander XLE,2015,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,26000
Toyota,Camry Hybrid XLE,2018,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Black,At least 1 accident or damage reported,23995
Subaru,Outback Touring XT,2021,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Brown,None reported,34000
Lexus,GX 460 Base,2018,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,At least 1 accident or damage reported,38095
Ford,Escape XLT,2007,153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,None reported,3000
Nissan,Murano SL,2007,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,6750
Lexus,LC 500 Base,2022,5.0L V8 32V PDI DOHC,Automatic,Caramel,None reported,99950
MINI,Cooper Base,2003,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gray,At least 1 accident or damage reported,5995
Ford,E350 Super Duty Base,2006,305.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,8500
Mazda,Mazda6 i Touring,2016,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,15000
Mercedes-Benz,E-Class AMG E 53,2020,3.0 Liter Turbo,Automatic,Black/Saddle Brown,None reported,72598
Toyota,Camry Hybrid Base,2007,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,At least 1 accident or damage reported,9250
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,None reported,20490
Dodge,Charger SE,2017,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,18650
Tesla,Model S 75D,2016,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,None reported,31300
Lexus,GX 460 Premium,2023,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,64900
Audi,RS 7 4.0T quattro,2023,4.0L V8 32V GDI DOHC Twin Turbo,1-Speed Automatic,Black / Express Red,None reported,128900
Ford,Mustang Shelby GT500,2007,500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,40999
Acura,MDX Technology,2022,3.5L V6 24V GDI SOHC,10-Speed Automatic,Parchment,None reported,47950
Lincoln,MKT Base,2016,303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,10500
Volkswagen,Passat 2.0T SE,2020,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,None reported,20900
INFINITI,QX60 Base,2014,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,12500
RAM,1500 Big Horn,2021,260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Black,None reported,44900
Hyundai,Santa Fe SE,2007,242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,4200
Acura,ILX Technology Plus Package,2016,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,21000
Rolls-Royce,Phantom,2018,6.8L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,–,None reported,599000
Mercedes-Benz,E-Class E 350,2014,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,29998
RAM,1500 Limited,2021,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,54800
Jaguar,F-TYPE S British Design Edition,2017,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,45999
Toyota,Highlander XLE,2018,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,27950
Porsche,911 Turbo Cabriolet,2008,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,69500
Aston,Martin DBS Superleggera,2019,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,184606
Ford,Transit Connect XLT,2016,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,Beige,None reported,15500
Maserati,Quattroporte S,2019,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,44999
Land,Rover Defender S,2023,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,62999
Toyota,Tundra SR5,2020,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,At least 1 accident or damage reported,46199
Mazda,Mazda6 Touring,2021,2.5L I4 16V GDI DOHC,6-Speed Automatic,Black,At least 1 accident or damage reported,25215
BMW,i3 Base,2015,170.0HP 0.65L Electric Motor Electric Fuel System,1-Speed A/T,Beige,None reported,14999
Jeep,Grand Cherokee Limited,2020,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,31000
BMW,640 Gran Coupe i xDrive,2015,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,22500
Honda,Accord EX-L 2.0T,2019,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,27500
Kia,Rio S,2021,120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,15700
